question_text,option_a,option_b,option_c,option_d,correct_answer,difficulty
What is 15 + 27?,40,42,44,46,B,medium
What is 8 × 7?,54,56,58,60,B,medium
What is 144 ÷ 12?,10,11,12,13,C,easy
What is 25% of 80?,15,20,25,30,B,medium
What is the square root of 121?,10,11,12,13,B,medium
What is 3² + 4²?,9,16,25,36,C,easy
What is 7! (7 factorial)?,5040,504,50,5040,A,hard
What is 2³ + 3²?,8,9,17,26,C,medium
What is 15% of 200?,25,30,35,40,B,easy
What is the next prime number after 17?,18,19,20,21,B,medium
